"STATE","STATEABBREVIATION","COUNTY","STATEFP","COUNTYFP","INDICATOR","YEAR","VALUE"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2003","6.8"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2004","6.9"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2005","6.6"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2006","8.5"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2007","8.8"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2008","8.9"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2009","8.4"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2010","8.9"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2011","10.4"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2012","8.7"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2013","10.4"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2014","10.5"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2015","11.2"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2016","13.3"
"Alabama","AL","Autauga County","01","001","drugdeathrate_est","2017","12.8"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2003","9"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2004","11.3"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2005","12.2"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2006","12.5"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2007","14.7"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2008","14.4"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2009","15.8"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2010","14.2"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2011","13.9"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2012","16.5"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2013","13.2"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2014","18"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2015","20"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2016","17.3"
"Alabama","AL","Baldwin County","01","003","drugdeathrate_est","2017","16.1"
"Alabama","AL","Barbour County","01","005","drugdeathrate_est","2003","5.9"
"Alabama","AL","Barbour County","01","005","drugdeathrate_est","2004","6.8"
"Alabama","AL","Barbour County","01","005","drugdeathrate_est","2005","7.3"
