"STATE","STATEABBREVIATION","COUNTY","STATEFP","COUNTYFP","INDICATOR","YEAR","VALUE"
"Alabama","AL","Monroe County","01","099","drugdeathrate","2010",""
"Alabama","AL","Wilcox County","01","131","drugdeathrate","2010",""
"Alabama","AL","Madison County","01","089","drugdeathrate","2010","10.5"
"Alabama","AL","Montgomery County","01","101","drugdeathrate","2010",""
"Alabama","AL","Jefferson County","01","073","drugdeathrate","2010","9.1"
"Alabama","AL","Winston County","01","133","drugdeathrate","2010",""
"Alabama","AL","Bibb County","01","007","drugdeathrate","2010",""
"Alabama","AL","Covington County","01","039","drugdeathrate","2010",""
"Alabama","AL","Bullock County","01","011","drugdeathrate","2010",""
"Alabama","AL","Calhoun County","01","015","drugdeathrate","2010","17.7"
"Alabama","AL","Marshall County","01","095","drugdeathrate","2010",""
"Alabama","AL","Conecuh County","01","035","drugdeathrate","2010",""
"Alabama","AL","Clarke County","01","025","drugdeathrate","2010",""
"Alabama","AL","Colbert County","01","033","drugdeathrate","2010",""
"Alabama","AL","Choctaw County","01","023","drugdeathrate","2010",""
"Alabama","AL","Houston County","01","069","drugdeathrate","2010",""
"Alabama","AL","Franklin County","01","059","drugdeathrate","2010",""
"Alabama","AL","Morgan County","01","103","drugdeathrate","2010",""
"Alabama","AL","Butler County","01","013","drugdeathrate","2010",""
"Alabama","AL","Shelby County","01","117","drugdeathrate","2010","13.3"
"Alabama","AL","Etowah County","01","055","drugdeathrate","2010",""
"Alabama","AL","Randolph County","01","111","drugdeathrate","2010",""
"Alabama","AL","Henry County","01","067","drugdeathrate","2010",""
"Alabama","AL","Lawrence County","01","079","drugdeathrate","2010",""
"Alabama","AL","Chilton County","01","021","drugdeathrate","2010",""
"Alabama","AL","Perry County","01","105","drugdeathrate","2010",""
"Alabama","AL","Crenshaw County","01","041","drugdeathrate","2010",""
"Alabama","AL","Lowndes County","01","085","drugdeathrate","2010",""
"Alabama","AL","St. Clair County","01","115","drugdeathrate","2010",""
"Alabama","AL","Mobile County","01","097","drugdeathrate","2010","10.9"
"Alabama","AL","Blount County","01","009","drugdeathrate","2010",""
"Alabama","AL","Cleburne County","01","029","drugdeathrate","2010",""
"Alabama","AL","DeKalb County","01","049","drugdeathrate","2010",""
"Alabama","AL","Dallas County","01","047","drugdeathrate","2010",""
"Alabama","AL","Tallapoosa County","01","123","drugdeathrate","2010",""
"Alabama","AL","Cherokee County","01","019","drugdeathrate","2010",""
"Alabama","AL","Jackson County","01","071","drugdeathrate","2010",""
"Alabama","AL","Tuscaloosa County","01","125","drugdeathrate","2010","13.9"
"Alabama","AL","Russell County","01","113","drugdeathrate","2010",""
"Alabama","AL","Hale County","01","065","drugdeathrate","2010",""
"Alabama","AL","Cullman County","01","043","drugdeathrate","2010",""
"Alabama","AL","Pickens County","01","107","drugdeathrate","2010",""
"Alabama","AL","Greene County","01","063","drugdeathrate","2010",""
"Alabama","AL","Marion County","01","093","drugdeathrate","2010",""
"Alabama","AL","Lamar County","01","075","drugdeathrate","2010",""
"Alabama","AL","Clay County","01","027","drugdeathrate","2010",""
"Alabama","AL","Pike County","01","109","drugdeathrate","2010",""
"Alabama","AL","Coffee County","01","031","drugdeathrate","2010",""
"Alabama","AL","Chambers County","01","017","drugdeathrate","2010",""
"Alabama","AL","Limestone County","01","083","drugdeathrate","2010",""
