"STATE","STATEABBREVIATION","COUNTY","STATEFP","COUNTYFP","INDICATOR","YEAR","VALUE"
"Alaska","AK","Anchorage Municipality","02","020","opioid_RxRate","2006","71.5"
"Alaska","AK","Fairbanks North Star Borough","02","090","opioid_RxRate","2006","54.7"
"Alaska","AK","Juneau City and Borough","02","110","opioid_RxRate","2006","95.3"
"Alaska","AK","Kenai Peninsula Borough","02","122","opioid_RxRate","2006","89.1"
"Alaska","AK","Ketchikan Gateway Borough","02","130","opioid_RxRate","2006","144.4"
"Alaska","AK","Kodiak Island Borough","02","150","opioid_RxRate","2006","69.4"
"Alaska","AK","Matanuska-Susitna Borough","02","170","opioid_RxRate","2006","82.5"
"Alaska","AK","Petersburg Borough","02","195","opioid_RxRate","2006","107.4"
"Alaska","AK","Valdez-Cordova Census Area","02","261","opioid_RxRate","2006","46.5"
"Alabama","AL","Autauga County","01","001","opioid_RxRate","2006","134.8"
"Alabama","AL","Baldwin County","01","003","opioid_RxRate","2006","127.8"
"Alabama","AL","Barbour County","01","005","opioid_RxRate","2006","78.1"
"Alabama","AL","Bibb County","01","007","opioid_RxRate","2006","114.3"
"Alabama","AL","Blount County","01","009","opioid_RxRate","2006","40.3"
"Alabama","AL","Bullock County","01","011","opioid_RxRate","2006","34.6"
"Alabama","AL","Butler County","01","013","opioid_RxRate","2006","105.4"
"Alabama","AL","Calhoun County","01","015","opioid_RxRate","2006","165.7"
"Alabama","AL","Chambers County","01","017","opioid_RxRate","2006","120.4"
"Alabama","AL","Cherokee County","01","019","opioid_RxRate","2006","123.8"
"Alabama","AL","Chilton County","01","021","opioid_RxRate","2006","109"
"Alabama","AL","Choctaw County","01","023","opioid_RxRate","2006","60.2"
"Alabama","AL","Clarke County","01","025","opioid_RxRate","2006","120.6"
"Alabama","AL","Clay County","01","027","opioid_RxRate","2006","114"
"Alabama","AL","Cleburne County","01","029","opioid_RxRate","2006","12.6"
"Alabama","AL","Coffee County","01","031","opioid_RxRate","2006","118.6"
"Alabama","AL","Colbert County","01","033","opioid_RxRate","2006","196.8"
"Alabama","AL","Conecuh County","01","035","opioid_RxRate","2006","142.1"
"Alabama","AL","Coosa County","01","037","opioid_RxRate","2006","25.2"
"Alabama","AL","Covington County","01","039","opioid_RxRate","2006","202.1"
"Alabama","AL","Crenshaw County","01","041","opioid_RxRate","2006","93.7"
"Alabama","AL","Cullman County","01","043","opioid_RxRate","2006","140.6"
"Alabama","AL","Dale County","01","045","opioid_RxRate","2006","64"
"Alabama","AL","Dallas County","01","047","opioid_RxRate","2006","77.9"
"Alabama","AL","DeKalb County","01","049","opioid_RxRate","2006","50.6"
"Alabama","AL","Elmore County","01","051","opioid_RxRate","2006","83"
"Alabama","AL","Escambia County","01","053","opioid_RxRate","2006","116.7"
"Alabama","AL","Etowah County","01","055","opioid_RxRate","2006","126.2"
"Alabama","AL","Fayette County","01","057","opioid_RxRate","2006","78"
"Alabama","AL","Franklin County","01","059","opioid_RxRate","2006","160.3"
"Alabama","AL","Geneva County","01","061","opioid_RxRate","2006","30.2"
"Alabama","AL","Greene County","01","063","opioid_RxRate","2006","32.4"
"Alabama","AL","Hale County","01","065","opioid_RxRate","2006","59.3"
"Alabama","AL","Henry County","01","067","opioid_RxRate","2006","41"
"Alabama","AL","Houston County","01","069","opioid_RxRate","2006","157.6"
"Alabama","AL","Jackson County","01","071","opioid_RxRate","2006","108.9"
"Alabama","AL","Jefferson County","01","073","opioid_RxRate","2006","119.4"
"Alabama","AL","Lamar County","01","075","opioid_RxRate","2006","53"
"Alabama","AL","Lauderdale County","01","077","opioid_RxRate","2006","132.7"
"Alabama","AL","Lawrence County","01","079","opioid_RxRate","2006","45.9"
"Alabama","AL","Lee County","01","081","opioid_RxRate","2006","70.6"
"Alabama","AL","Limestone County","01","083","opioid_RxRate","2006","60"
"Alabama","AL","Lowndes County","01","085","opioid_RxRate","2006","9.1"
"Alabama","AL","Macon County","01","087","opioid_RxRate","2006","46.6"
"Alabama","AL","Madison County","01","089","opioid_RxRate","2006","115.3"
"Alabama","AL","Marengo County","01","091","opioid_RxRate","2006","114.1"
"Alabama","AL","Marion County","01","093","opioid_RxRate","2006","216"
"Alabama","AL","Marshall County","01","095","opioid_RxRate","2006","182.3"
"Alabama","AL","Mobile County","01","097","opioid_RxRate","2006","127.7"
"Alabama","AL","Monroe County","01","099","opioid_RxRate","2006","134.3"
"Alabama","AL","Montgomery County","01","101","opioid_RxRate","2006","97.5"
"Alabama","AL","Morgan County","01","103","opioid_RxRate","2006","151.8"
"Alabama","AL","Pickens County","01","107","opioid_RxRate","2006","85.5"
"Alabama","AL","Pike County","01","109","opioid_RxRate","2006","88.3"
"Alabama","AL","Randolph County","01","111","opioid_RxRate","2006","56.4"
"Alabama","AL","Russell County","01","113","opioid_RxRate","2006","139.5"
"Alabama","AL","St. Clair County","01","115","opioid_RxRate","2006","79.1"
"Alabama","AL","Shelby County","01","117","opioid_RxRate","2006","110.4"
"Alabama","AL","Sumter County","01","119","opioid_RxRate","2006","39"
"Alabama","AL","Talladega County","01","121","opioid_RxRate","2006","111.6"
"Alabama","AL","Tallapoosa County","01","123","opioid_RxRate","2006","82.9"
"Alabama","AL","Tuscaloosa County","01","125","opioid_RxRate","2006","105.1"
"Alabama","AL","Walker County","01","127","opioid_RxRate","2006","304.1"
"Alabama","AL","Washington County","01","129","opioid_RxRate","2006","37.8"
"Alabama","AL","Wilcox County","01","131","opioid_RxRate","2006","45.4"
"Alabama","AL","Winston County","01","133","opioid_RxRate","2006","121.4"
"Arkansas","AR","Arkansas County","05","001","opioid_RxRate","2006","64.3"
"Arkansas","AR","Ashley County","05","003","opioid_RxRate","2006","89.7"
"Arkansas","AR","Baxter County","05","005","opioid_RxRate","2006","120.9"
"Arkansas","AR","Benton County","05","007","opioid_RxRate","2006","81.9"
"Arkansas","AR","Boone County","05","009","opioid_RxRate","2006","152.4"
"Arkansas","AR","Bradley County","05","011","opioid_RxRate","2006","109"
"Arkansas","AR","Calhoun County","05","013","opioid_RxRate","2006","73.7"
"Arkansas","AR","Carroll County","05","015","opioid_RxRate","2006","32.7"
"Arkansas","AR","Chicot County","05","017","opioid_RxRate","2006","50.9"
"Arkansas","AR","Clark County","05","019","opioid_RxRate","2006","59.9"
"Arkansas","AR","Clay County","05","021","opioid_RxRate","2006","45.4"
"Arkansas","AR","Cleburne County","05","023","opioid_RxRate","2006","91.1"
"Arkansas","AR","Columbia County","05","027","opioid_RxRate","2006","89.9"
"Arkansas","AR","Conway County","05","029","opioid_RxRate","2006","36.8"
"Arkansas","AR","Craighead County","05","031","opioid_RxRate","2006","166.1"
"Arkansas","AR","Crawford County","05","033","opioid_RxRate","2006","118.8"
"Arkansas","AR","Crittenden County","05","035","opioid_RxRate","2006","103.2"
"Arkansas","AR","Cross County","05","037","opioid_RxRate","2006","71.5"
"Arkansas","AR","Dallas County","05","039","opioid_RxRate","2006","78.4"
"Arkansas","AR","Desha County","05","041","opioid_RxRate","2006","143.1"
"Arkansas","AR","Drew County","05","043","opioid_RxRate","2006","63.1"
"Arkansas","AR","Faulkner County","05","045","opioid_RxRate","2006","96.9"
"Arkansas","AR","Franklin County","05","047","opioid_RxRate","2006","13.8"
"Arkansas","AR","Fulton County","05","049","opioid_RxRate","2006","43.6"
"Arkansas","AR","Garland County","05","051","opioid_RxRate","2006","177.4"
"Arkansas","AR","Grant County","05","053","opioid_RxRate","2006","22.4"
"Arkansas","AR","Greene County","05","055","opioid_RxRate","2006","153.9"
"Arkansas","AR","Hempstead County","05","057","opioid_RxRate","2006","92.2"
"Arkansas","AR","Hot Spring County","05","059","opioid_RxRate","2006","85.2"
"Arkansas","AR","Howard County","05","061","opioid_RxRate","2006","118"
"Arkansas","AR","Independence County","05","063","opioid_RxRate","2006","171.7"
"Arkansas","AR","Izard County","05","065","opioid_RxRate","2006","64.4"
"Arkansas","AR","Jackson County","05","067","opioid_RxRate","2006","133.8"
