"STATE","STATEABBREVIATION","STATEFP","INDICATOR","YEAR","VALUE"
"United States","US","00","opioid_RxRate","2006","72.4"
"United States","US","00","opioid_RxRate","2007","75.9"
"United States","US","00","opioid_RxRate","2008","78.2"
"United States","US","00","opioid_RxRate","2009","79.5"
"United States","US","00","opioid_RxRate","2010","81.2"
"United States","US","00","opioid_RxRate","2011","80.9"
"United States","US","00","opioid_RxRate","2012","81.3"
"United States","US","00","opioid_RxRate","2013","78.1"
"United States","US","00","opioid_RxRate","2014","75.6"
"United States","US","00","opioid_RxRate","2015","70.6"
"United States","US","00","opioid_RxRate","2016","66.5"
"United States","US","00","opioid_RxRate","2017","58.7"
"Alabama","AL","01","opioid_RxRate","2006","115.6"
"Alaska","AK","02","opioid_RxRate","2006","63.4"
"Arizona","AZ","04","opioid_RxRate","2006","74.3"
"Arkansas","AR","05","opioid_RxRate","2006","98.3"
"California","CA","06","opioid_RxRate","2006","51"
"Colorado","CO","08","opioid_RxRate","2006","62.2"
"Connecticut","CT","09","opioid_RxRate","2006","64.7"
"Delaware","DE","10","opioid_RxRate","2006","86.6"
"District of Columbia","DC","11","opioid_RxRate","2006","31.7"
"Florida","FL","12","opioid_RxRate","2006","79.7"
"Georgia","GA","13","opioid_RxRate","2006","79.8"
"Hawaii","HI","15","opioid_RxRate","2006","42.3"
"Idaho","ID","16","opioid_RxRate","2006","75.6"
"Illinois","IL","17","opioid_RxRate","2006","55.6"
"Indiana","IN","18","opioid_RxRate","2006","94.3"
"Iowa","IA","19","opioid_RxRate","2006","59.3"
"Kansas","KS","20","opioid_RxRate","2006","77.5"
"Kentucky","KY","21","opioid_RxRate","2006","122.6"
"Louisiana","LA","22","opioid_RxRate","2006","109.2"
"Maine","ME","23","opioid_RxRate","2006","83.6"
"Maryland","MD","24","opioid_RxRate","2006","60.1"
"Massachusetts","MA","25","opioid_RxRate","2006","66"
"Michigan","MI","26","opioid_RxRate","2006","80.2"
"Minnesota","MN","27","opioid_RxRate","2006","50.3"
"Mississippi","MS","28","opioid_RxRate","2006","102.7"
"Missouri","MO","29","opioid_RxRate","2006","80.5"
"Montana","MT","30","opioid_RxRate","2006","79.1"
"Nebraska","NE","31","opioid_RxRate","2006","64.3"
"Nevada","NV","32","opioid_RxRate","2006","87.7"
"New Hampshire","NH","33","opioid_RxRate","2006","75"
"New Jersey","NJ","34","opioid_RxRate","2006","54.7"
"New Mexico","NM","35","opioid_RxRate","2006","61.8"
"New York","NY","36","opioid_RxRate","2006","44.2"
"North Carolina","NC","37","opioid_RxRate","2006","85.2"
"North Dakota","ND","38","opioid_RxRate","2006","56"
"Ohio","OH","39","opioid_RxRate","2006","87.7"
"Oklahoma","OK","40","opioid_RxRate","2006","108.7"
"Oregon","OR","41","opioid_RxRate","2006","91"
"Pennsylvania","PA","42","opioid_RxRate","2006","69.5"
"Rhode Island","RI","44","opioid_RxRate","2006","78.7"
"South Carolina","SC","45","opioid_RxRate","2006","90.4"
"South Dakota","SD","46","opioid_RxRate","2006","50"
"Tennessee","TN","47","opioid_RxRate","2006","124.8"
"Texas","TX","48","opioid_RxRate","2006","66.8"
"Utah","UT","49","opioid_RxRate","2006","87"
"Vermont","VT","50","opioid_RxRate","2006","56.9"
"Virginia","VA","51","opioid_RxRate","2006","67.2"
"Washington","WA","53","opioid_RxRate","2006","80.8"
"West Virginia","WV","54","opioid_RxRate","2006","129.9"
"Wisconsin","WI","55","opioid_RxRate","2006","64.7"
"Wyoming","WY","56","opioid_RxRate","2006","79.9"
"Alabama","AL","01","opioid_RxRate","2007","120.3"
"Alaska","AK","02","opioid_RxRate","2007","66.6"
"Arizona","AZ","04","opioid_RxRate","2007","77.8"
"Arkansas","AR","05","opioid_RxRate","2007","108.2"
"California","CA","06","opioid_RxRate","2007","53.6"
"Colorado","CO","08","opioid_RxRate","2007","65.9"
"Connecticut","CT","09","opioid_RxRate","2007","67.5"
"Delaware","DE","10","opioid_RxRate","2007","92.3"
"District of Columbia","DC","11","opioid_RxRate","2007","41.2"
"Florida","FL","12","opioid_RxRate","2007","82.2"
"Georgia","GA","13","opioid_RxRate","2007","82.5"
"Hawaii","HI","15","opioid_RxRate","2007","44.5"
"Idaho","ID","16","opioid_RxRate","2007","78.8"
"Illinois","IL","17","opioid_RxRate","2007","59.2"
